Product SKU;Product Name;Product URL;Description;Weight;Height;Width;Length;Featured Image
SIS-128;DUAL LANE FRONT LOAD MEGA WAVE SLIDE;http://35.161.218.27/wordpress/wordpress/index.php/product/dual-lane-front-load-mega-wave-slide/;"WEIGHT: 900LBS



HEIGHT: 25'



WIDTH: 17'



LENGTH: 43'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/128.jpg
SIS-126;ISLAND TIME FRONT LOAD SLIDE;http://35.161.218.27/wordpress/wordpress/index.php/product/island-time-front-load-slide/;"WEIGHT: 335LBS



HEIGHT: 15'



WIDTH: 12'



LENGTH: 21'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/126.jpg
SIS-125;BLUE FRONT LOAD SLIDE;http://35.161.218.27/wordpress/wordpress/index.php/product/blue-front-load-slide/;"WEIGHT: 335LBS



HEIGHT: 15'



WIDTH: 12'



LENGTH: 21'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/125.jpg
SIS-124;AMERICAN STARS FRONT LOAD SLIDE;http://35.161.218.27/wordpress/wordpress/index.php/product/american-stars-front-load-slide/;"WEIGHT: 335LBS



HEIGHT: 15'



WIDTH: 12'



LENGTH: 21'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/124.jpg
SIS-135;DUAL LANE MEGA CURVE SLIDE;http://35.161.218.27/wordpress/wordpress/index.php/product/dual-lane-mega-curve-slide/;"WEIGHT: 600LBS



HEIGHT: 18'



WIDTH: 22'



LENGTH: 25'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/135.jpg
SIS-123;DUAL LANE MEGA WAVE SLIDE 2;http://35.161.218.27/wordpress/wordpress/index.php/product/dual-lane-mega-wave-slide-2/;"WEIGHT: 700LBS



HEIGHT: 18'



WIDTH: 17'



LENGTH: 35'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/123.jpg
SIS-122;DUAL LANE MEGA WAVE SLIDE;http://35.161.218.27/wordpress/wordpress/index.php/product/dual-lane-mega-wave-slide/;"WEIGHT: 700LBS



HEIGHT: 18'



WIDTH: 17'



LENGTH: 35'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/122-1.jpg
SIS-121;PIRATE SHIP SLIDE;http://35.161.218.27/wordpress/wordpress/index.php/product/pirate-ship-slide/;"WEIGHT: 525LBS



HEIGHT: 15'



WIDTH: 16'



LENGTH: 20'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/121.jpg
SIS-120;PARTY FUN FRONT LOAD DUAL LANE SLIDE YELLOW;http://35.161.218.27/wordpress/wordpress/index.php/product/party-fun-front-load-dual-lane-slide-yellow/;"WEIGHT: 635LBS



HEIGHT: 18'



WIDTH: 19'



LENGTH: 25'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/120.jpg
SIS-119;PARTY FUN FRONT LOAD DUAL LANE SLIDE AQUA;http://35.161.218.27/wordpress/wordpress/index.php/product/party-fun-front-load-dual-lane-slide-aqua/;"WEIGHT: 525LBS



HEIGHT: 16'



WIDTH: 19'



LENGTH: 21'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/119.jpg
